Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Vidar  Rygh,Male,Norway,0 days 02:12:15,0 days 00:08:10,0 days 08:12:05,0 days 00:08:10,0 days 06:45:55,0 days 17:26:35,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Ann Elisabeth Ohnstad,Female,Norway,0 days 02:23:05,0 days 00:07:01,0 days 07:39:50,0 days 00:07:01,0 days 07:14:53,0 days 17:31:50,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Danny Bevan,Male,United Kingdom,0 days 02:15:02,0 days 00:07:54,0 days 07:35:46,0 days 00:07:54,0 days 07:26:34,0 days 17:33:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Paul Courtenay,Male,United Kingdom,0 days 01:37:00,0 days 00:07:26,0 days 07:43:15,0 days 00:07:26,0 days 07:58:14,0 days 17:33:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Christian Abelsted Brigg,Male,Norway,0 days 01:12:33,0 days 00:05:54,0 days 08:25:12,0 days 00:05:54,0 days 07:45:34,0 days 17:35:06,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Martin Pritchard-Howarth,Male,United Kingdom,0 days 01:38:45,0 days 00:06:10,0 days 08:20:35,0 days 00:06:10,0 days 07:24:40,0 days 17:36:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Jonny Hisdal,Male,Norway,0 days 01:43:30,0 days 00:07:10,0 days 07:41:30,0 days 00:07:10,0 days 07:56:59,0 days 17:36:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Bibbi Misje,Female,Norway,0 days 02:39:30,0 days 00:14:48,0 days 08:27:16,0 days 00:14:48,0 days 06:03:38,0 days 17:40:00,White,1000 meters,3800.0,180.0,42.0,2008.0
Elin Reed Bratten,Female,Norway,0 days 02:34:50,0 days 00:12:42,0 days 08:36:09,0 days 00:12:42,0 days 06:03:38,0 days 17:40:00,White,1000 meters,3800.0,180.0,42.0,2008.0
Henry Gompertz,Male,United Kingdom,0 days 01:37:10,0 days 00:13:52,0 days 07:51:40,0 days 00:13:52,0 days 07:53:10,0 days 17:49:45,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
